amount,application_id,company_size,last_fy_profit,loan_created,age_of_firm,average_business_inflow,average_business_outflow,average_inflow,average_outflow,high_inflow_cp,inward_returns,max_business_inflow,max_business_outflow,max_inflow,max_outflow,min_business_inflow,min_business_outflow,min_inflow,min_outflow,outward_returns,ads_matchtype_b,ads_matchtype_e,ads_network_google_display,ads_network_google_search,browser_Chrome,browser_Firefox,browser_Netscape,browser_Safari,campaign_city_Ahmedabad,campaign_city_Badlapur,campaign_city_Bengaluru,campaign_city_Bhopal,campaign_city_Chennai,campaign_city_Delhi,campaign_city_Hyderabad,campaign_city_Indore,campaign_city_Jaipur,campaign_city_Kolkata,campaign_city_Mumbai,campaign_city_Nashik,campaign_city_Navi_Mumbai,campaign_city_Nellore,campaign_city_Pune,campaign_city_Raipur,campaign_city_Sonipat,campaign_city_Thane,campaign_city_Vadodara,campaign_city_Vijayawada,city_Ahmedabad,city_Ajmer,city_Amravati,city_Andheri,city_Badlapur,city_Bengaluru,city_Betim,city_Bhilai,city_Bhopal,city_Bulandshahr,city_Chandigarh,city_Chennai,city_Chikhli,city_Delhi,city_Ernakulam,city_Faridabad,city_Ghaziabad,city_Hyderabad,city_Indore,city_Jabalpur,city_Jaipur,city_Jetpur,city_Kalyan,city_Karnal,city_Kolkata,city_Lohogaon,city_Mira Road,city_Mumbai,city_New Delhi,city_Nizamabad,city_Pune,city_Raipur,city_Rajkot,city_Srinagar,city_Thane,city_Ujjain,city_Ulhasnagar,firm_type_Partnership,firm_type_Private Limited,firm_type_Proprietorship,gender_Female,gender_Male,industry_0.0,industry_2.0,industry_9.0,industry_11.0,industry_12.0,industry_20.0,industry_22.0,industry_27.0,industry_34.0,industry_35.0,industry_38.0,industry_39.0,industry_40.0,industry_43.0,industry_47.0,industry_48.0,industry_49.0,industry_51.0,industry_52.0,industry_56.0,industry_57.0,industry_62.0,industry_67.0,industry_69.0,industry_70.0,industry_81.0,industry_88.0,industry_93.0,industry_95.0,industry_98.0,industry_101.0,industry_102.0,industry_104.0,industry_105.0,industry_111.0,industry_112.0,industry_124.0,industry_126.0,industry_128.0,industry_129.0,industry_130.0,industry_132.0,industry_134.0,industry_137.0,industry_139.0,platform_MacIntel,platform_Win32,platform_Win64,platform_mobile:Linux,platform_mobile:iPhone,registered_office_city_AHMED NAGAR,registered_office_city_AHMEDABAD,registered_office_city_AJMER,registered_office_city_AMALAPURAM,registered_office_city_AMRAVATI,registered_office_city_AURANGABAD,registered_office_city_BANGALORE,registered_office_city_BANGALORE RURAL,registered_office_city_BANSWARA,registered_office_city_BHOPAL,registered_office_city_CHENNAI,registered_office_city_CHIKKABALLAPUR,registered_office_city_CHITTOOR,registered_office_city_DAKSHINA KANNADA,registered_office_city_DHAR,registered_office_city_DURG,registered_office_city_EAST DELHI,registered_office_city_EAST NIMAR,registered_office_city_GULBARGA,registered_office_city_GURGAON,registered_office_city_GWALIOR,registered_office_city_HOSHANGABAD,registered_office_city_HOWRAH,registered_office_city_HYDERABAD,registered_office_city_INDORE,registered_office_city_JAIPUR,registered_office_city_JALNA,registered_office_city_JODHPUR,registered_office_city_K.V.RANGAREDDY,registered_office_city_KOLHAPUR,registered_office_city_KOLKATA,registered_office_city_KOTA,registered_office_city_KRISHNA,registered_office_city_KRISHNAGIRI,registered_office_city_LATUR,registered_office_city_MOHALI,registered_office_city_MUMBAI,registered_office_city_MYSURU,registered_office_city_NAGPUR,registered_office_city_NASHIK,registered_office_city_NELLORE,registered_office_city_NORTH 24 PARGANAS,registered_office_city_PRAKASAM,registered_office_city_PUNE,registered_office_city_RAIGARH(MH),registered_office_city_RAIPUR,registered_office_city_RAISEN,registered_office_city_SANGLI,registered_office_city_SATARA,registered_office_city_SOLAPUR,registered_office_city_SONIPAT,registered_office_city_SOUTH 24 PARGANAS,registered_office_city_SOUTH DELHI,registered_office_city_THANE,registered_office_city_TIRUVALLUR,registered_office_city_VADODARA,registered_office_city_VISAKHAPATNAM,registered_office_city_WEST DELHI,registered_office_state_ANDHRA PRADESH,registered_office_state_CHHATTISGARH,registered_office_state_DELHI,registered_office_state_GUJARAT,registered_office_state_HARYANA,registered_office_state_KARNATAKA,registered_office_state_MADHYA PRADESH,registered_office_state_MAHARASHTRA,registered_office_state_PUNJAB,registered_office_state_RAJASTHAN,registered_office_state_TAMIL NADU,registered_office_state_TELANGANA,registered_office_state_WEST BENGAL,role_in_firm_1.0,role_in_firm_2.0,role_in_firm_3.0,role_in_firm_5.0,role_on_application_0,role_on_application_1,role_on_application_2,role_on_application_3,role_on_application_4,role_on_application_5,state_ANDHRA PRADESH,state_CHHATTISGARH,state_DELHI,state_GUJARAT,state_HARYANA,state_JHARKHAND,state_KARNATAKA,state_MADHYA PRADESH,state_MAHARASHTRA,state_RAJASTHAN,state_TAMIL NADU,state_TELANGANA,state_UTTAR PRADESH,state_WEST BENGAL,state_madhya pradesh,utm_medium_Banner,utm_medium_ppc,utm_source_Facebook,utm_source_adwords,private_email_domain_False,private_email_domain_True
200000.0,1031.0,,,0,2.0,164725.0,164040.0,164725.0,164725.0,8,2,502725,570348,502725,502725,35981,24331,35981,35981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
300000.0,2056.0,5.0,341068.0,0,4.0,91220.0,91625.0,91220.0,91220.0,4,0,159971,159356,159971,159971,43826,47157,43826,43826,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
500000.0,9047.0,,,0,4.0,42126.0,47292.0,42126.0,42126.0,8,0,134835,133462,134835,134835,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
500000.0,2068.0,5.0,,0,4.0,246655.0,264491.0,246655.0,246655.0,9,0,879035,780395,879035,879035,21,31236,21,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
500000.0,2737.0,5.0,,0,4.0,96784.0,95498.0,96784.0,96784.0,16,0,373105,285950,373105,373105,22000,30008,22000,22000,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
400000.0,3126.0,5.0,,0,5.0,65003.0,67170.0,65003.0,65003.0,7,0,321226,351689,321226,321226,0,5220,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
600000.0,1081.0,5.0,319713.0,0,,111855.0,110632.0,111855.0,111855.0,2,0,227020,221036,227020,227020,23400,21400,23400,23400,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
300000.0,5178.0,5.0,,0,,44638.0,43415.0,44638.0,44638.0,4,0,200000,208540,200000,200000,0,39,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
500000.0,1084.0,5.0,,0,2.0,23661.0,22576.0,23661.0,23661.0,5,0,168233,161207,168233,168233,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
1000000.0,6281.0,,,0,3.0,227953.66666666666,225999.66666666666,227953.66666666666,227953.66666666666,21,0,339984,361214,339984,339984,143000,155280,143000,143000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
